Row Count,CaseID,CASEID_NEW,w6_q21d_year,w6_q21e_year,w6_identity_all
161,188,2922533,2003,,heterosexual or straight
163,190,2167453,2001,,heterosexual or straight
164,192,2621759,,,heterosexual or straight
165,193,1526849,1999,,heterosexual or straight
166,194,2590127,1997,,heterosexual or straight
167,195,2967957,2012,,lgbtqiapk+
168,196,2884323,2011,,heterosexual or straight
169,197,985963,1973,,heterosexual or straight
170,198,2719995,1991,,heterosexual or straight
171,199,2422033,1988,,heterosexual or straight
172,200,1762955,1991,,heterosexual or straight
173,202,1105539,2001,,heterosexual or straight
174,203,2589615,2015,,heterosexual or straight
175,204,1439067,1997,,heterosexual or straight
176,205,1230191,1996,,heterosexual or straight
177,206,2605123,2010,,heterosexual or straight
178,207,1905539,1988,2006,heterosexual or straight
179,209,2735541,1996,,lgbtqiapk+
180,210,2721283,,,heterosexual or straight
181,211,1445757,1996,,heterosexual or straight
182,212,2962095,,2017,lgbtqiapk+
183,213,2933065,,,heterosexual or straight
184,215,2808315,1976,,heterosexual or straight
185,216,2486709,2006,,lgbtqiapk+
186,217,2845281,2013,,lgbtqiapk+
187,218,2886159,1994,,heterosexual or straight
188,219,2344787,1992,,heterosexual or straight
189,220,2011179,2016,,heterosexual or straight
190,222,2765783,1965,,heterosexual or straight
191,223,2607677,,2016,lgbtqiapk+
192,225,2533085,,,heterosexual or straight
194,227,2757001,1985,,heterosexual or straight
195,228,369975,2007,,heterosexual or straight
196,229,1638493,,,heterosexual or straight
197,231,817367,2011,,heterosexual or straight
198,232,1158663,2010,,heterosexual or straight
199,234,1279425,2017,,heterosexual or straight
200,236,1513047,1970,,heterosexual or straight
201,237,1675777,,,heterosexual or straight
203,239,1855961,,,heterosexual or straight
204,241,2319615,2004,,heterosexual or straight
205,243,1411245,1988,,heterosexual or straight
206,245,2559437,2007,,heterosexual or straight
207,246,2431555,,,heterosexual or straight
208,247,2150359,,,heterosexual or straight
209,248,2622115,,,heterosexual or straight
210,249,1851973,1991,,heterosexual or straight
211,250,623465,1997,,lgbtqiapk+
212,251,2305135,,,lgbtqiapk+
213,252,2910791,,,heterosexual or straight
214,253,2496651,,2017,heterosexual or straight
215,254,2604589,,2017,heterosexual or straight
216,255,2845105,,,lgbtqiapk+
217,256,2065541,,2016,lgbtqiapk+
218,257,1815571,1994,,heterosexual or straight
219,258,2918247,1986,,heterosexual or straight
220,259,2909003,,,heterosexual or straight
221,260,2211779,2013,,heterosexual or straight
222,261,1422621,1957,,heterosexual or straight
223,262,876181,,,heterosexual or straight
224,263,1491213,2009,,heterosexual or straight
225,264,2930383,2011,,heterosexual or straight
226,265,2079077,1978,,heterosexual or straight
227,266,1492417,1966,,heterosexual or straight
228,267,1058659,1991,,heterosexual or straight
229,268,2175579,,,heterosexual or straight
231,270,1572839,1989,,heterosexual or straight
232,271,1592925,,2017,heterosexual or straight
233,272,716613,1991,,heterosexual or straight
234,273,1564347,,2017,lgbtqiapk+
236,275,1808147,,,lgbtqiapk+
237,276,1927653,2008,,heterosexual or straight
238,277,2638829,1979,,heterosexual or straight
240,279,1592085,,2016,heterosexual or straight
241,280,2856247,1997,,heterosexual or straight
242,281,2304871,1998,,heterosexual or straight
243,282,1717135,1980,,heterosexual or straight
244,283,2564805,1983,,heterosexual or straight
245,287,218351,1997,,heterosexual or straight
246,288,2775451,2009,,heterosexual or straight
247,289,2150161,2011,,heterosexual or straight
248,290,2911329,,,heterosexual or straight
249,292,2581275,1944,,heterosexual or straight
250,293,2697783,1971,,heterosexual or straight
251,295,2888509,2010,,heterosexual or straight
252,296,2924057,1986,,heterosexual or straight
253,297,2701833,1995,,heterosexual or straight
254,298,2669961,1991,2015,lgbtqiapk+
255,299,1322545,1987,,heterosexual or straight
256,300,1874783,1997,,heterosexual or straight
257,302,2208721,,2017,heterosexual or straight
258,303,2347795,1984,,lgbtqiapk+
259,304,2923211,1987,,heterosexual or straight
260,305,2417365,2014,,lgbtqiapk+
262,308,2942445,,2013,heterosexual or straight
263,309,2280829,1985,,heterosexual or straight
264,311,1445543,1980,,heterosexual or straight
265,312,2656651,2001,,heterosexual or straight
267,314,1311313,2002,,heterosexual or straight
268,316,1967799,,1994,heterosexual or straight
269,317,2429211,2013,,heterosexual or straight
270,320,2914675,1966,,heterosexual or straight
271,321,1660265,1974,,heterosexual or straight
273,323,1912339,1975,,heterosexual or straight
274,324,2240477,1957,,heterosexual or straight
275,325,2530029,1982,2007,lgbtqiapk+
276,326,2630193,1988,,heterosexual or straight
277,327,2325975,2008,,heterosexual or straight
278,328,1335167,1999,,heterosexual or straight
279,329,2714381,1980,,heterosexual or straight
280,331,2054099,,,heterosexual or straight
281,332,1681863,1979,,heterosexual or straight
282,333,1984375,2008,,heterosexual or straight
283,334,1906663,2005,2007,lgbtqiapk+
284,335,1880801,1974,,heterosexual or straight
285,336,2340931,1995,,heterosexual or straight
286,337,2954941,2001,,heterosexual or straight
287,340,1846375,,,heterosexual or straight
288,341,1389569,1963,,heterosexual or straight
289,342,2865877,2011,2017,heterosexual or straight
290,343,1638513,1990,2004,heterosexual or straight
291,344,2091283,2014,,heterosexual or straight
292,345,2344663,1996,,heterosexual or straight
293,346,2914097,1985,,heterosexual or straight
295,348,1227597,1982,,heterosexual or straight
296,349,2860641,,2014,heterosexual or straight
297,350,2582177,1980,,lgbtqiapk+
298,351,626591,1995,,heterosexual or straight
299,353,516823,1956,,heterosexual or straight
301,355,1740471,1993,,heterosexual or straight
302,356,2816715,1998,,heterosexual or straight
303,357,2529305,,,heterosexual or straight
304,358,2842301,1964,,heterosexual or straight
305,359,2959813,,,heterosexual or straight
306,360,2897763,1975,,heterosexual or straight
307,361,1573497,1982,,heterosexual or straight
308,362,2954837,,,lgbtqiapk+
309,363,2228681,1995,,heterosexual or straight
310,365,2144897,,,lgbtqiapk+
311,367,2046249,2005,,heterosexual or straight
312,368,2578857,,,heterosexual or straight
313,369,2656113,2015,,heterosexual or straight
314,370,2908131,2009,,lgbtqiapk+
315,371,1193613,,,heterosexual or straight
316,372,2178997,,,heterosexual or straight
317,374,1909345,1968,,heterosexual or straight
318,375,2777689,,2017,heterosexual or straight
319,376,2336297,,2012,lgbtqiapk+
320,377,2954031,2015,,lgbtqiapk+
321,378,2548877,,,heterosexual or straight
322,379,2248415,2017,,heterosexual or straight
323,380,1513715,1992,,heterosexual or straight
324,381,1415513,,,heterosexual or straight
325,382,1928049,,,heterosexual or straight
326,383,1162743,,,heterosexual or straight
327,384,2658259,1988,,heterosexual or straight
328,385,1794225,,,lgbtqiapk+
329,386,2781965,,2017,lgbtqiapk+
330,388,2469031,2003,,lgbtqiapk+
331,389,2017641,2003,,heterosexual or straight
332,390,2310047,,,lgbtqiapk+
333,391,869205,,,heterosexual or straight
334,393,2283991,1983,,heterosexual or straight
335,395,2075775,1968,,heterosexual or straight
336,397,1276051,1976,,heterosexual or straight
337,398,2232385,2011,,heterosexual or straight
338,399,1688409,2006,,heterosexual or straight
339,402,2853169,1984,,heterosexual or straight
340,403,2912503,2016,,heterosexual or straight
341,404,1785191,,,lgbtqiapk+
342,405,2815891,2005,,lgbtqiapk+
343,406,1324877,1978,,heterosexual or straight
344,407,1016635,2011,,heterosexual or straight
345,408,2902185,1990,,heterosexual or straight
346,409,1282581,2014,,heterosexual or straight
347,410,2444217,,2016,heterosexual or straight
348,411,2606759,1962,,heterosexual or straight
349,412,2586483,1997,,heterosexual or straight
350,413,1524367,2014,,heterosexual or straight
351,414,1139579,,,heterosexual or straight
352,416,2300601,2009,,lgbtqiapk+
354,420,1834561,2010,,heterosexual or straight
355,421,2111275,2001,,heterosexual or straight
356,422,2959603,2008,,heterosexual or straight
357,423,2962297,1986,,heterosexual or straight
358,424,1812941,1994,,heterosexual or straight
359,425,2445513,,,lgbtqiapk+
360,426,2532753,1971,,heterosexual or straight
361,427,2646867,,,heterosexual or straight
362,428,2089935,,,heterosexual or straight
363,429,854869,1967,,heterosexual or straight
364,430,1546115,1984,,heterosexual or straight
365,431,1333997,1973,,heterosexual or straight
366,432,2860543,1959,,heterosexual or straight
367,434,2309513,1985,,heterosexual or straight
368,435,1947485,2008,,lgbtqiapk+
369,436,2868523,1975,,heterosexual or straight
370,437,1909355,2008,,heterosexual or straight
371,438,2587225,,,heterosexual or straight
372,439,2285577,2008,,lgbtqiapk+
373,440,2296003,1961,,heterosexual or straight
374,441,1323365,2008,,heterosexual or straight
375,443,2606713,,,heterosexual or straight
376,444,2936561,,2011,heterosexual or straight
377,445,2761053,,1993,lgbtqiapk+
379,447,1576593,1964,,heterosexual or straight
380,448,2219971,,,lgbtqiapk+
381,449,2763005,1964,,heterosexual or straight
382,451,814285,1985,,lgbtqiapk+
383,452,1025093,1955,,heterosexual or straight
384,453,1738617,1990,,heterosexual or straight
385,455,2711001,,,heterosexual or straight
386,456,1596895,2000,,heterosexual or straight
387,457,1166225,1981,,heterosexual or straight
388,458,2701139,,1998,lgbtqiapk+
389,460,2763111,,,lgbtqiapk+
390,461,2949703,,,lgbtqiapk+
391,462,2926977,2012,,lgbtqiapk+
392,465,2921913,,,lgbtqiapk+
393,467,1394211,1972,,lgbtqiapk+
394,468,2169639,1968,,heterosexual or straight
395,469,2344635,1982,,lgbtqiapk+
396,470,2456627,2014,,lgbtqiapk+
397,471,2242567,,,lgbtqiapk+
398,472,2853113,,,lgbtqiapk+
399,473,1113635,2014,,lgbtqiapk+
400,474,2232397,1967,,heterosexual or straight
401,475,2250239,,2011,lgbtqiapk+
402,476,2907659,,,lgbtqiapk+
403,478,1548291,1979,,heterosexual or straight
404,479,1940277,2010,,lgbtqiapk+
405,482,2967919,2015,,lgbtqiapk+
406,485,2219299,2002,,heterosexual or straight
407,486,1908393,2013,,lgbtqiapk+
408,487,2504621,2005,,lgbtqiapk+
409,488,1857981,,1980,lgbtqiapk+
410,489,1835627,1964,,lgbtqiapk+
411,490,2824295,,,lgbtqiapk+
412,491,2206161,,2015,heterosexual or straight
413,492,2209197,,,heterosexual or straight
414,494,2141839,,,heterosexual or straight
415,495,2086473,2010,,heterosexual or straight
416,496,2430261,,,heterosexual or straight
417,497,2478637,1988,,heterosexual or straight
418,498,2689601,1978,,heterosexual or straight
419,499,2017763,,2017,heterosexual or straight
420,500,2494349,1979,,heterosexual or straight
421,502,2911425,,,lgbtqiapk+
422,503,2756963,,,lgbtqiapk+
423,505,2715565,,,heterosexual or straight
424,508,2945109,,,lgbtqiapk+
425,509,2842885,,,heterosexual or straight
426,510,2316989,,,lgbtqiapk+
427,511,2084067,1985,,lgbtqiapk+
428,512,1720897,2016,,lgbtqiapk+
429,513,2807337,2014,,heterosexual or straight
430,515,2784727,,2017,heterosexual or straight
431,516,2055825,1969,,heterosexual or straight
432,517,2317447,2013,,heterosexual or straight
433,518,2178301,,,lgbtqiapk+
435,520,2071877,,,heterosexual or straight
436,521,2453829,,,heterosexual or straight
437,522,2225427,1963,,heterosexual or straight
438,523,2555771,1972,,heterosexual or straight
439,524,2054225,2013,,lgbtqiapk+
440,525,2724951,1972,,heterosexual or straight
441,526,2872129,,2015,lgbtqiapk+
442,527,2170187,,,heterosexual or straight
443,528,2603029,1999,,heterosexual or straight
444,529,2855333,2012,,heterosexual or straight
445,530,2688777,,,heterosexual or straight
446,532,2832409,2006,,heterosexual or straight
447,533,1925493,1964,,heterosexual or straight
448,534,2032401,,,heterosexual or straight
449,536,2906635,,2016,lgbtqiapk+
450,537,2139655,1985,,heterosexual or straight
451,538,2226395,,,heterosexual or straight
452,539,2212677,2003,,heterosexual or straight
453,540,2798409,,2017,heterosexual or straight
454,541,2600775,,,heterosexual or straight
455,542,2699851,,,heterosexual or straight
456,543,2846681,1973,,heterosexual or straight
457,544,2944519,2011,,heterosexual or straight
458,545,2688009,,,heterosexual or straight
459,546,2945353,2012,,heterosexual or straight
460,547,2918507,,,heterosexual or straight
461,548,2408927,1997,,heterosexual or straight
462,549,2848605,,2016,heterosexual or straight
463,550,2136689,1972,,heterosexual or straight
464,551,2875437,2007,,lgbtqiapk+
465,553,2952951,1980,,lgbtqiapk+
466,556,2735307,2010,,lgbtqiapk+
467,557,2049189,,2013,heterosexual or straight
468,558,2932455,,2016,heterosexual or straight
469,559,1786077,,,lgbtqiapk+
470,561,2966353,,2011,heterosexual or straight
471,562,2966763,,,heterosexual or straight
472,563,783679,1992,,heterosexual or straight
473,564,2942295,2017,,heterosexual or straight
474,565,2528583,1989,,heterosexual or straight
475,566,2019427,1989,,heterosexual or straight
476,567,1469067,,,heterosexual or straight
477,568,1465133,1975,,heterosexual or straight
478,569,2942317,,,heterosexual or straight
479,570,2882659,,,lgbtqiapk+
480,571,2613965,1996,,heterosexual or straight
481,572,1548203,1974,1992,heterosexual or straight
482,573,1424549,1990,,heterosexual or straight
483,574,2478365,2016,,heterosexual or straight
484,575,2937667,1981,,heterosexual or straight
485,576,2871451,2003,,lgbtqiapk+
486,577,1572635,1988,,heterosexual or straight
488,580,2486069,,2016,lgbtqiapk+
489,581,2412093,,,heterosexual or straight
490,582,2456225,,,lgbtqiapk+
491,583,2920967,2007,,heterosexual or straight
492,584,2882059,1988,,heterosexual or straight
493,586,1955549,1978,,heterosexual or straight
494,587,1837465,,,heterosexual or straight
495,589,2776317,2013,,heterosexual or straight
496,590,1926741,,,heterosexual or straight
497,592,2458037,1979,,heterosexual or straight
498,593,1816635,,2004,heterosexual or straight
499,594,1965213,,2016,heterosexual or straight
500,595,1787125,,,lgbtqiapk+
501,597,1755759,,,heterosexual or straight
502,598,2899293,1974,,heterosexual or straight
504,601,2555043,,,lgbtqiapk+
506,603,2043585,,,heterosexual or straight
507,604,2450961,2008,,heterosexual or straight
508,606,2431691,1998,,heterosexual or straight
509,607,2418585,,2007,heterosexual or straight
510,608,2265151,2004,,heterosexual or straight
511,609,2212453,,,lgbtqiapk+
512,610,2026673,,,heterosexual or straight
513,611,2854455,1996,,heterosexual or straight
514,612,1425571,1972,,heterosexual or straight
515,613,2717261,1995,2007,heterosexual or straight
516,614,916551,1999,,heterosexual or straight
517,615,1987317,,,heterosexual or straight
518,616,1975331,,,heterosexual or straight
519,617,1352173,1995,,heterosexual or straight
520,618,2652193,1998,,heterosexual or straight
521,619,2693009,,1995,heterosexual or straight
522,620,726183,1991,,heterosexual or straight
523,621,978383,1975,1996,heterosexual or straight
524,622,2821129,2000,,heterosexual or straight
525,623,2160165,2016,,heterosexual or straight
526,624,1957777,,,heterosexual or straight
527,625,1073943,1991,,heterosexual or straight
528,627,2822251,,,heterosexual or straight
529,628,2777181,1978,,heterosexual or straight
530,629,2905651,1976,,heterosexual or straight
531,630,726431,,,heterosexual or straight
532,631,2721323,2017,,heterosexual or straight
533,632,873917,,,heterosexual or straight
534,633,2321101,2008,,heterosexual or straight
535,636,2019193,,,heterosexual or straight
536,637,1756751,,,heterosexual or straight
537,638,158083,2013,2014,heterosexual or straight
539,640,2722303,1979,,lgbtqiapk+
540,641,2175191,2014,,heterosexual or straight
541,642,716931,1985,,heterosexual or straight
542,643,1958605,1982,,heterosexual or straight
543,644,1882511,1978,,heterosexual or straight
544,645,1900989,,,heterosexual or straight
545,647,2938551,2007,,heterosexual or straight
546,648,2877799,1992,,heterosexual or straight
547,649,2954317,,2016,heterosexual or straight
548,650,1994489,,,heterosexual or straight
549,652,606657,,,heterosexual or straight
550,653,2914073,1975,,heterosexual or straight
551,654,2141677,2008,,heterosexual or straight
552,655,2932129,2007,,heterosexual or straight
553,656,2247423,2005,,heterosexual or straight
554,657,2606945,,,lgbtqiapk+
555,658,2487865,1994,,heterosexual or straight
556,659,2693529,2015,,heterosexual or straight
557,660,2933093,1977,,heterosexual or straight
558,661,729451,1992,,heterosexual or straight
559,662,1760107,2000,,heterosexual or straight
560,663,2701431,,2017,heterosexual or straight
561,664,2666671,1957,,heterosexual or straight
562,665,1649347,1978,,heterosexual or straight
564,668,2613043,,,lgbtqiapk+
565,669,2149957,2002,,heterosexual or straight
566,671,1220331,,,lgbtqiapk+
567,672,2320991,1986,,heterosexual or straight
568,673,1713825,,,heterosexual or straight
569,674,1926103,,,lgbtqiapk+
571,677,1218419,,,heterosexual or straight
573,679,2761561,1953,,heterosexual or straight
574,680,2914325,1982,,heterosexual or straight
575,681,2352239,1988,,heterosexual or straight
576,682,2125135,1981,,heterosexual or straight
577,683,1360375,1964,,heterosexual or straight
578,684,2732527,2010,,heterosexual or straight
579,685,1577393,1955,,heterosexual or straight
580,686,2839429,2006,,heterosexual or straight
581,688,2139319,2010,,heterosexual or straight
582,689,1952879,,,heterosexual or straight
583,690,2835507,2013,,heterosexual or straight
584,691,1945763,,2008,heterosexual or straight
585,693,2317581,,2013,heterosexual or straight
586,695,2482081,2003,,heterosexual or straight
587,696,2797473,,,heterosexual or straight
588,698,2413817,,,heterosexual or straight
589,699,1070983,1975,,heterosexual or straight
590,700,1854003,2005,,heterosexual or straight
591,701,1428551,1996,,heterosexual or straight
592,702,2958383,1996,,heterosexual or straight
593,704,1317319,1967,,heterosexual or straight
594,705,1389041,1979,,heterosexual or straight
595,706,1641411,1989,,heterosexual or straight
596,707,2888101,,,heterosexual or straight
597,708,2817849,2005,,heterosexual or straight
598,710,2881839,1961,,heterosexual or straight
600,712,2849977,2004,,heterosexual or straight
601,713,2440417,1986,,heterosexual or straight
602,714,2860697,1981,,heterosexual or straight
603,717,2882207,1998,,heterosexual or straight
604,719,2940627,,,heterosexual or straight
605,721,2298501,2008,,heterosexual or straight
606,723,1202421,2007,,heterosexual or straight
607,724,2140027,,2015,heterosexual or straight
608,725,2955957,1991,,heterosexual or straight
609,726,1157187,,,heterosexual or straight
611,729,2591515,1985,,heterosexual or straight
612,730,1068457,2005,,heterosexual or straight
613,731,1856209,1974,,heterosexual or straight
614,732,720815,1986,,heterosexual or straight
615,733,2736883,1958,,heterosexual or straight
617,735,2770011,,,heterosexual or straight
618,736,811175,1982,,heterosexual or straight
619,737,1899645,2012,,heterosexual or straight
620,738,2246883,1977,1989,heterosexual or straight
621,739,2947147,1987,,heterosexual or straight
622,740,2870179,2005,,heterosexual or straight
623,741,2054837,,,lgbtqiapk+
624,742,1420887,1966,,heterosexual or straight
625,744,1926463,1998,,lgbtqiapk+
626,745,2921407,,,heterosexual or straight
627,746,1172569,1959,1985,heterosexual or straight
628,747,2556247,,,heterosexual or straight
630,749,2255089,,,heterosexual or straight
631,751,2848693,,,heterosexual or straight
632,752,1746431,1962,,heterosexual or straight
633,753,2958479,,,heterosexual or straight
634,754,1665693,2003,,heterosexual or straight
635,755,730375,2002,,heterosexual or straight
636,756,2845571,,2017,heterosexual or straight
637,757,2029467,1996,,lgbtqiapk+
638,758,1522181,,1994,heterosexual or straight
639,759,2867625,,2011,heterosexual or straight
640,760,1852509,1984,1990,heterosexual or straight
641,761,2329385,,2013,lgbtqiapk+
642,762,2118409,,2017,heterosexual or straight
643,763,2337263,,2003,lgbtqiapk+
644,764,2699647,,,heterosexual or straight
645,765,185779,,1989,heterosexual or straight
646,766,2211921,,,lgbtqiapk+
647,769,2898559,1991,,heterosexual or straight
648,771,1421327,1971,,heterosexual or straight
649,772,2838827,,,heterosexual or straight
650,773,2965795,,2008,lgbtqiapk+
651,774,2297863,,2001,heterosexual or straight
653,776,2773167,,2017,heterosexual or straight
654,777,728327,1980,,heterosexual or straight
655,779,2935695,,,heterosexual or straight
656,780,2648345,,,heterosexual or straight
657,781,1905893,1996,,heterosexual or straight
659,783,2900177,1998,,heterosexual or straight
660,784,2226649,1972,,heterosexual or straight
661,785,2587915,1983,,lgbtqiapk+
662,786,2929957,1992,,heterosexual or straight
663,787,2888089,2015,,lgbtqiapk+
664,788,164061,1997,,heterosexual or straight
665,789,2940021,,,heterosexual or straight
666,790,2345121,1992,,heterosexual or straight
667,792,2219267,1987,,heterosexual or straight
668,793,2635321,2008,,heterosexual or straight
669,794,2334733,,2016,heterosexual or straight
670,796,608697,2000,,heterosexual or straight
671,797,2446131,,2010,heterosexual or straight
672,798,2623111,,,heterosexual or straight
673,799,2514325,2015,,lgbtqiapk+
674,801,2590343,2016,,heterosexual or straight
675,802,1149553,1998,,heterosexual or straight
676,803,2185855,,,lgbtqiapk+
677,805,2679207,1995,,heterosexual or straight
678,806,1884543,,,lgbtqiapk+
679,807,2960473,2005,,lgbtqiapk+
680,808,814003,,,lgbtqiapk+
681,809,2429297,1986,,heterosexual or straight
682,810,2854677,2001,,heterosexual or straight
683,811,1723297,1969,,heterosexual or straight
684,812,1485773,,,heterosexual or straight
685,813,2424537,,,lgbtqiapk+
686,814,2643307,1997,,heterosexual or straight
687,815,1686433,1988,,heterosexual or straight
688,816,1854475,1967,,heterosexual or straight
689,817,2868557,,2008,heterosexual or straight
690,818,2836757,2012,,heterosexual or straight
691,819,1814287,,2017,heterosexual or straight
692,821,2727931,1994,,lgbtqiapk+
693,822,1431015,1976,,heterosexual or straight
694,824,1924607,,2017,heterosexual or straight
695,825,2472319,,,heterosexual or straight
696,826,2565987,,1991,heterosexual or straight
697,827,2912003,2016,,lgbtqiapk+
698,830,2967063,,,heterosexual or straight
699,831,1721651,1972,,heterosexual or straight
700,833,874193,1981,,heterosexual or straight
701,834,2430731,2006,,heterosexual or straight
702,836,1374661,1985,,heterosexual or straight
703,837,2809787,2011,,heterosexual or straight
